Run name: allcases_3600s_20260620_005457_hp8_m
Run directory: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m
Training log: /mnt/c/Users/user/Desktop/619rl实验/RL/runs/allcases_3600s_20260620_005457_hp8_m/train.log
Default RL canvas aligned to fastTM interposer: 100.0 x 100.0

生成/检查 fastTM 热阻表...
  热阻表阶段状态: ok
  KL散度: 9.565086
Episode 13100/1000000
  平均奖励: 91.48
  成功率: 0.0%
  累计RL时间: 2138.20s
  本区间时间: 15.69s
  损失: -3.7431
  熵: 7.2664
  KL散度: 9.592661
Episode 13200/1000000
  平均奖励: 89.19
  成功率: 0.0%
  累计RL时间: 2153.93s
  本区间时间: 15.73s
  损失: 746.7161
  熵: 7.2664
  KL散度: 9.570947
Episode 13300/1000000
  平均奖励: 93.46
  成功率: 0.0%
  累计RL时间: 2169.84s
  本区间时间: 15.91s
  损失: 1.5929
  熵: 7.2664
  KL散度: 9.580188
Episode 13400/1000000
  平均奖励: 94.00
  成功率: 0.0%
  累计RL时间: 2185.80s
  本区间时间: 15.96s
  损失: 31.0798
  熵: 7.2664
  KL散度: 9.571944
Episode 13500/1000000
  平均奖励: 91.45
  成功率: 0.0%
  累计RL时间: 2201.52s
  本区间时间: 15.72s
  损失: 801.4200
  熵: 7.2664
  KL散度: 9.565964
Episode 13600/1000000
  平均奖励: 93.90
  成功率: 0.0%
  累计RL时间: 2217.92s
  本区间时间: 16.39s
  损失: 44.2442
  熵: 7.2664
  KL散度: 9.629582
Episode 13700/1000000
  平均奖励: 91.83
  成功率: 0.0%
  累计RL时间: 2233.65s
  本区间时间: 15.73s
  损失: 12.2101
  熵: 7.2664
  KL散度: 9.591598
Episode 13800/1000000
  平均奖励: 84.65
  成功率: 0.0%
  累计RL时间: 2248.63s
  本区间时间: 14.99s
  损失: -4.0972
  熵: 7.2664
  KL散度: 9.616138
Episode 13900/1000000
  平均奖励: 98.46
  成功率: 0.0%
  累计RL时间: 2265.24s
  本区间时间: 16.61s
  损失: 69.6732
  熵: 7.2664
  KL散度: 9.568218
Episode 14000/1000000
  平均奖励: 92.01
  成功率: 0.0%
  累计RL时间: 2281.23s
  本区间时间: 16.00s
  损失: 16.1941
  熵: 7.2664
  KL散度: 9.542418
Episode 14100/1000000
  平均奖励: 89.74
  成功率: 0.0%
  累计RL时间: 2296.62s
  本区间时间: 15.38s
  损失: 2.2988
  熵: 7.2664
  KL散度: 9.560409
Episode 14200/1000000
  平均奖励: 94.32
  成功率: 0.0%
  累计RL时间: 2312.80s
  本区间时间: 16.18s
  损失: -0.2777
  熵: 7.2664
  KL散度: 9.583652
Episode 14300/1000000
  平均奖励: 90.44
  成功率: 0.0%
  累计RL时间: 2328.43s
  本区间时间: 15.63s
  损失: -1.6041
  熵: 7.2664
  KL散度: 9.591461
Episode 14400/1000000
  平均奖励: 92.72
  成功率: 0.0%
  累计RL时间: 2344.51s
  本区间时间: 16.08s
  损失: 583.2772
  熵: 7.2664
  KL散度: 9.721287
Episode 14500/1000000
  平均奖励: 94.79
  成功率: 0.0%
  累计RL时间: 2360.62s
  本区间时间: 16.11s
  损失: 471.4645
  熵: 7.2664
  KL散度: 9.667727
Episode 14600/1000000
  平均奖励: 96.70
  成功率: 0.0%
  累计RL时间: 2377.19s
  本区间时间: 16.57s
  损失: 561.1748
  熵: 7.2664
  KL散度: 9.768406
Episode 14700/1000000
  平均奖励: 93.78
  成功率: 0.0%
  累计RL时间: 2393.52s
  本区间时间: 16.33s
  损失: 98.2664
  熵: 7.2664
  KL散度: 9.538130
Episode 14800/1000000
  平均奖励: 90.80
  成功率: 0.0%
  累计RL时间: 2409.12s
  本区间时间: 15.60s
  损失: 648.3691
  熵: 7.2664
  KL散度: 9.590716
Episode 14900/1000000
  平均奖励: 97.16
  成功率: 0.0%
  累计RL时间: 2425.69s
  本区间时间: 16.57s
  损失: 348.0027
  熵: 7.2664
  KL散度: 9.683301
Episode 15000/1000000
  平均奖励: 84.12
  成功率: 0.0%
  累计RL时间: 2440.48s
  本区间时间: 14.79s
  损失: 854.2656
  熵: 7.2662
  KL散度: 9.627009
Episode 15100/1000000
  平均奖励: 96.27
  成功率: 0.0%
  累计RL时间: 2457.06s
  本区间时间: 16.57s
  损失: 753.4766
  熵: 7.2664
  KL散度: 9.606758
Episode 15200/1000000
  平均奖励: 90.52
  成功率: 0.0%
  累计RL时间: 2472.72s
  本区间时间: 15.67s
  损失: 4.3055
  熵: 7.2664
  KL散度: 9.612953
Episode 15300/1000000
  平均奖励: 94.61
  成功率: 0.0%
  累计RL时间: 2488.99s
  本区间时间: 16.26s
  损失: 735.5906
  熵: 7.2664
  KL散度: 9.634127
Episode 15400/1000000
  平均奖励: 96.73
  成功率: 0.0%
  累计RL时间: 2505.39s
  本区间时间: 16.40s
  损失: 486.8723
  熵: 7.2662
  KL散度: 9.649252
Episode 15500/1000000
  平均奖励: 94.72
  成功率: 0.0%
  累计RL时间: 2521.66s
  本区间时间: 16.27s
  损失: 378.6247
  熵: 7.2664
  KL散度: 9.502838
Episode 15600/1000000
  平均奖励: 97.29
  成功率: 0.0%
  累计RL时间: 2538.13s
  本区间时间: 16.47s
  损失: 316.6504
  熵: 7.2664
  KL散度: 9.644523
Episode 15700/1000000
  平均奖励: 91.86
  成功率: 0.0%
  累计RL时间: 2553.90s
  本区间时间: 15.77s
  损失: 38.2439
  熵: 7.2664
  KL散度: 9.526021
Episode 15800/1000000
  平均奖励: 99.13
  成功率: 0.0%
  累计RL时间: 2570.93s
  本区间时间: 17.03s
  损失: 501.7294
  熵: 7.2664
  KL散度: 9.581510
Episode 15900/1000000
  平均奖励: 91.32
  成功率: 0.0%
  累计RL时间: 2586.77s
  本区间时间: 15.84s
  损失: 53.5700
  熵: 7.2664
  KL散度: 9.506136
Episode 16000/1000000
  平均奖励: 100.32
  成功率: 0.0%
  累计RL时间: 2603.66s
  本区间时间: 16.89s
  损失: 450.3041
  熵: 7.2664
  KL散度: 9.518423
Episode 16100/1000000
  平均奖励: 87.57
  成功率: 0.0%
  累计RL时间: 2618.95s
  本区间时间: 15.30s
  损失: 736.2239
  熵: 7.2664
  KL散度: 9.645116
Episode 16200/1000000
  平均奖励: 87.13
  成功率: 0.0%
  累计RL时间: 2634.39s
  本区间时间: 15.43s
  损失: -3.4028
  熵: 7.2664
  KL散度: 9.526590
Episode 16300/1000000
  平均奖励: 91.28
  成功率: 0.0%
  累计RL时间: 2650.03s
  本区间时间: 15.65s
  损失: 727.2625
  熵: 7.2664
  KL散度: 9.616894
Episode 16400/1000000
  平均奖励: 95.42
  成功率: 0.0%
  累计RL时间: 2666.30s
  本区间时间: 16.27s
  损失: 604.8975
  熵: 7.2664
  KL散度: 9.716010
Episode 16500/1000000
  平均奖励: 93.62
  成功率: 0.0%
  累计RL时间: 2682.29s
  本区间时间: 15.99s
  损失: 119.3180
  熵: 7.2664
  KL散度: 9.572896
Episode 16600/1000000
  平均奖励: 86.19
  成功率: 0.0%
  累计RL时间: 2697.74s
  本区间时间: 15.44s
  损失: -0.6104
  熵: 7.2664
  KL散度: 9.598763
Episode 16700/1000000
  平均奖励: 90.41
  成功率: 0.0%
  累计RL时间: 2713.56s
  本区间时间: 15.83s
  损失: 631.5364
  熵: 7.2664
  KL散度: 9.690109
Episode 16800/1000000
  平均奖励: 89.27
  成功率: 0.0%
  累计RL时间: 2729.05s
  本区间时间: 15.48s
  损失: 1769.9807
  熵: 7.2664
  KL散度: 10.369902
Episode 16900/1000000
  平均奖励: 95.24
  成功率: 0.0%
  累计RL时间: 2745.10s
  本区间时间: 16.06s
  损失: 555.1038
  熵: 7.2664
  KL散度: 9.629292
Episode 17000/1000000
  平均奖励: 92.97
  成功率: 0.0%
  累计RL时间: 2761.32s
  本区间时间: 16.21s
  损失: 634.9551
  熵: 7.2664
  KL散度: 9.625690
Episode 17100/1000000
  平均奖励: 93.56
  成功率: 0.0%
  累计RL时间: 2777.28s
  本区间时间: 15.96s
  损失: 72.1859
  熵: 7.2664
  KL散度: 9.536847
Episode 17200/1000000
  平均奖励: 92.31
  成功率: 0.0%
  累计RL时间: 2792.98s
  本区间时间: 15.70s
  损失: 37.9552
  熵: 7.2664
  KL散度: 9.608729
Episode 17300/1000000
  平均奖励: 94.13
  成功率: 0.0%
  累计RL时间: 2809.13s
  本区间时间: 16.15s
  损失: 665.5095
  熵: 7.2664
  KL散度: 9.716891
Episode 17400/1000000
  平均奖励: 90.82
  成功率: 0.0%
  累计RL时间: 2825.10s
  本区间时间: 15.97s
  损失: 799.9875
  熵: 7.2664
  KL散度: 9.653176
Episode 17500/1000000
  平均奖励: 88.97
  成功率: 0.0%
  累计RL时间: 2840.53s
  本区间时间: 15.43s
  损失: -4.0747
  熵: 7.2664
  KL散度: 9.584780
Episode 17600/1000000
  平均奖励: 88.87
  成功率: 0.0%
  累计RL时间: 2855.76s
  本区间时间: 15.23s
  损失: -1.6278
  熵: 7.2664
  KL散度: 9.599882
Episode 17700/1000000
  平均奖励: 92.48
  成功率: 0.0%
  累计RL时间: 2871.68s
  本区间时间: 15.92s
  损失: 498.7837
  熵: 7.2664
  KL散度: 9.733703
Episode 17800/1000000
  平均奖励: 90.50
  成功率: 0.0%
  累计RL时间: 2887.50s
  本区间时间: 15.82s
  损失: 35.3672
  熵: 7.2664
  KL散度: 9.595462
Episode 17900/1000000
  平均奖励: 93.66
  成功率: 0.0%
  累计RL时间: 2903.52s
  本区间时间: 16.02s
  损失: 771.6299
  熵: 7.2664
  KL散度: 9.806976
Episode 18000/1000000
  平均奖励: 89.58
  成功率: 0.0%
  累计RL时间: 2918.99s
  本区间时间: 15.47s
  损失: -4.1417
  熵: 7.2664
  KL散度: 9.547595
Episode 18100/1000000
  平均奖励: 90.31
  成功率: 0.0%
  累计RL时间: 2934.52s
  本区间时间: 15.53s
  损失: 8.5496
  熵: 7.2664
  KL散度: 9.610398
Episode 18200/1000000
  平均奖励: 94.20
  成功率: 0.0%
  累计RL时间: 2950.87s
  本区间时间: 16.35s
  损失: 27.6299
  熵: 7.2664
  KL散度: 9.598948
Episode 18300/1000000
  平均奖励: 98.73
  成功率: 0.0%
  累计RL时间: 2967.54s
  本区间时间: 16.67s
  损失: 373.1974
  熵: 7.2664
  KL散度: 9.655141
Episode 18400/1000000
  平均奖励: 86.33
  成功率: 0.0%
  累计RL时间: 2982.75s
  本区间时间: 15.22s
  损失: 823.3950
  熵: 7.2654
  KL散度: 9.608465
Episode 18500/1000000
  平均奖励: 94.10
  成功率: 0.0%
  累计RL时间: 2999.22s
  本区间时间: 16.46s
  损失: 783.3885
  熵: 7.2664
  KL散度: 9.637523
Episode 18600/1000000
  平均奖励: 88.28
  成功率: 0.0%
  累计RL时间: 3014.52s
  本区间时间: 15.30s
  损失: 833.0458
  熵: 7.2664
  KL散度: 9.659613
Episode 18700/1000000
  平均奖励: 88.75
  成功率: 0.0%
  累计RL时间: 3030.00s
  本区间时间: 15.48s
  损失: 874.1150
  熵: 7.2664
  KL散度: 9.632069
Episode 18800/1000000
  平均奖励: 92.49
  成功率: 0.0%
  累计RL时间: 3045.87s
  本区间时间: 15.87s
  损失: 804.4302
  熵: 7.2664
  KL散度: 9.733530
Episode 18900/1000000
  平均奖励: 93.74
  成功率: 0.0%
  累计RL时间: 3062.09s
  本区间时间: 16.23s
  损失: -3.2253
  熵: 7.2664
  KL散度: 9.552857
Episode 19000/1000000
  平均奖励: 91.43
  成功率: 0.0%
  累计RL时间: 3077.81s
  本区间时间: 15.72s
  损失: -3.8768
  熵: 7.2664
  KL散度: 9.558730
Episode 19100/1000000
  平均奖励: 91.10
  成功率: 0.0%
  累计RL时间: 3093.60s
  本区间时间: 15.79s
  损失: 746.2453
  熵: 7.2664
  KL散度: 9.590093
Episode 19200/1000000
  平均奖励: 97.82
  成功率: 0.0%
  累计RL时间: 3110.12s
  本区间时间: 16.52s
  损失: 512.7032
  熵: 7.2664
  KL散度: 9.702832
Episode 19300/1000000
  平均奖励: 89.77
  成功率: 0.0%
  累计RL时间: 3125.82s
  本区间时间: 15.70s
  损失: -1.2477
  熵: 7.2664
  KL散度: 9.561729
Episode 19400/1000000
  平均奖励: 86.30
  成功率: 0.0%
  累计RL时间: 3140.86s
  本区间时间: 15.04s
  损失: 800.9328
  熵: 7.2664
  KL散度: 9.765128
Episode 19500/1000000
  平均奖励: 96.25
  成功率: 0.0%
  累计RL时间: 3157.35s
  本区间时间: 16.49s
  损失: 649.9440
  熵: 7.2663
  KL散度: 8.961573
Episode 19600/1000000
  平均奖励: 101.32
  成功率: 0.0%
  累计RL时间: 3174.31s
  本区间时间: 16.95s
  损失: 640.1321
  熵: 7.2664
  KL散度: 9.495380
Episode 19700/1000000
  平均奖励: 90.47
  成功率: 0.0%
  累计RL时间: 3190.06s
  本区间时间: 15.75s
  损失: 25.6006
  熵: 7.2664
  KL散度: 9.506352
Episode 19800/1000000
  平均奖励: 96.68
  成功率: 0.0%
  累计RL时间: 3206.46s
  本区间时间: 16.40s
  损失: 456.8495
  熵: 7.2663
  KL散度: 9.578007
Episode 19900/1000000
  平均奖励: 95.51
  成功率: 0.0%
  累计RL时间: 3222.71s
  本区间时间: 16.25s
  损失: 340.4023
  熵: 7.2664
  KL散度: 9.521504
Episode 20000/1000000
  平均奖励: 90.50
  成功率: 0.0%
  累计RL时间: 3238.36s
  本区间时间: 15.65s
  损失: 5.8279
  熵: 7.2664
  KL散度: 9.493931
Episode 20100/1000000
  平均奖励: 88.84
  成功率: 0.0%
  累计RL时间: 3253.81s
  本区间时间: 15.45s
  损失: 756.6029
  熵: 7.2664
  KL散度: 9.607992
Episode 20200/1000000
  平均奖励: 87.31
  成功率: 0.0%
  累计RL时间: 3269.10s
  本区间时间: 15.29s
  损失: 801.2303
  熵: 7.2664
  KL散度: 9.670340
Episode 20300/1000000
  平均奖励: 91.27
  成功率: 0.0%
  累计RL时间: 3284.85s
  本区间时间: 15.75s
  损失: 64.8576
  熵: 7.2664
  KL散度: 9.559754
Episode 20400/1000000
  平均奖励: 89.95
  成功率: 0.0%
  累计RL时间: 3300.61s
  本区间时间: 15.76s
  损失: -2.5708
  熵: 7.2664
  KL散度: 9.583627
Episode 20500/1000000
  平均奖励: 96.27
  成功率: 0.0%
  累计RL时间: 3317.07s
  本区间时间: 16.47s
  损失: 662.6701
  熵: 7.2664
  KL散度: 9.745313
Episode 20600/1000000
  平均奖励: 96.12
  成功率: 0.0%
  累计RL时间: 3333.26s
  本区间时间: 16.19s
  损失: 104.5086
  熵: 7.2664
  KL散度: 9.499026
Episode 20700/1000000
  平均奖励: 102.63
  成功率: 0.0%
  累计RL时间: 3350.36s
  本区间时间: 17.10s
  损失: 241.6083
  熵: 7.2664
  KL散度: 9.566945
Episode 20800/1000000
  平均奖励: 91.24
  成功率: 0.0%
  累计RL时间: 3366.38s
  本区间时间: 16.02s
  损失: 213.9870
  熵: 7.2664
  KL散度: 9.597205
Episode 20900/1000000
  平均奖励: 88.89
  成功率: 0.0%
  累计RL时间: 3381.68s
  本区间时间: 15.30s
  损失: 14.3307
  熵: 7.2664
  KL散度: 9.558797
Episode 21000/1000000
  平均奖励: 92.55
  成功率: 0.0%
  累计RL时间: 3397.72s
  本区间时间: 16.04s
  损失: 779.6425
  熵: 7.2664
  KL散度: 9.716084
  WARNING: 连续20次保存未改进，考虑提前停止
Episode 21100/1000000
  平均奖励: 86.30
  成功率: 0.0%
  累计RL时间: 3412.70s
  本区间时间: 14.97s
  损失: 790.1371
  熵: 7.2664
  KL散度: 9.564868
Episode 21200/1000000
  平均奖励: 90.04
  成功率: 0.0%
  累计RL时间: 3428.53s
  本区间时间: 15.83s
  损失: -3.9216
  熵: 7.2664
  KL散度: 9.553989
Episode 21300/1000000
  平均奖励: 95.34
  成功率: 0.0%
  累计RL时间: 3444.67s
  本区间时间: 16.15s
  损失: 817.3251
  熵: 7.2664
  KL散度: 8.768364
Episode 21400/1000000
  平均奖励: 87.55
  成功率: 0.0%
  累计RL时间: 3459.88s
  本区间时间: 15.21s
  损失: -3.7112
  熵: 7.2664
  KL散度: 9.591600
Episode 21500/1000000
  平均奖励: 90.26
  成功率: 0.0%
  累计RL时间: 3475.48s
  本区间时间: 15.60s
  损失: 816.0920
  熵: 7.2664
  KL散度: 9.581909
Episode 21600/1000000
  平均奖励: 91.16
  成功率: 0.0%
  累计RL时间: 3491.48s
  本区间时间: 16.00s
  损失: -3.4019
  熵: 7.2664
  KL散度: 9.573525
